Provinsi;Tahun;Bulan;Kunjungan
DKI JAKARTA;2020;6;1730939
JAWA BARAT;2020;6;6047886
JAWA TENGAH;2020;6;8741458
DI YOGYAKARTA;2020;6;966026
JAWA TIMUR;2020;6;9184613
BANTEN;2020;6;1757307
BALI;2020;6;427300
NUSA TENGGARA BARAT;2020;6;219509
NUSA TENGGARA TIMUR;2020;6;123912
KALIMANTAN BARAT;2020;6;114469
KALIMANTAN TENGAH;2020;6;105229
KALIMANTAN SELATAN;2020;6;217081
KALIMANTAN TIMUR;2020;6;153412
KALIMANTAN UTARA;2020;6;12698
SULAWESI UTARA;2020;6;112243
SULAWESI TENGAH;2020;6;86803
SULAWESI SELATAN;2020;6;547513
SULAWESI TENGGARA;2020;6;106867
GORONTALO;2020;6;49003
SULAWESI BARAT;2020;6;49222
MALUKU;2020;6;11914
MALUKU UTARA;2020;6;23881
PAPUA BARAT;2020;6;17414
PAPUA BARAT DAYA;2020;6;0
PAPUA;2020;6;35260
PAPUA SELATAN;2020;6;0
PAPUA TENGAH;2020;6;0
PAPUA PEGUNUNGAN;2020;6;0
INDONESIA;2020;6;34224111
ACEH;2020;7;333571
SUMATERA UTARA;2020;7;1082687
SUMATERA BARAT;2020;7;754303
RIAU;2020;7;440119
JAMBI;2020;7;235975
SUMATERA SELATAN;2020;7;486690
BENGKULU;2020;7;131746
LAMPUNG;2020;7;779034
KEP. BANGKA BELITUNG;2020;7;70022
KEP. RIAU;2020;7;47791
DKI JAKARTA;2020;7;2338540
JAWA BARAT;2020;7;8293439
JAWA TENGAH;2020;7;10624146
DI YOGYAKARTA;2020;7;1407181
JAWA TIMUR;2020;7;11452136
BANTEN;2020;7;2276198
BALI;2020;7;596736
NUSA TENGGARA BARAT;2020;7;292720
NUSA TENGGARA TIMUR;2020;7;180686
KALIMANTAN BARAT;2020;7;156207
KALIMANTAN TENGAH;2020;7;153741
KALIMANTAN SELATAN;2020;7;299967
KALIMANTAN TIMUR;2020;7;179746
KALIMANTAN UTARA;2020;7;17870
SULAWESI UTARA;2020;7;193492
SULAWESI TENGAH;2020;7;119534
SULAWESI SELATAN;2020;7;663996
SULAWESI TENGGARA;2020;7;146936
GORONTALO;2020;7;68769
SULAWESI BARAT;2020;7;61561
MALUKU;2020;7;15625
MALUKU UTARA;2020;7;36540
PAPUA BARAT;2020;7;22301
PAPUA BARAT DAYA;2020;7;0
PAPUA;2020;7;45320
PAPUA SELATAN;2020;7;0
PAPUA TENGAH;2020;7;0
PAPUA PEGUNUNGAN;2020;7;0
INDONESIA;2020;7;44005325
ACEH;2020;8;392055
SUMATERA UTARA;2020;8;1291700
SUMATERA BARAT;2020;8;827245
RIAU;2020;8;497048
JAMBI;2020;8;258405
SUMATERA SELATAN;2020;8;555501
BENGKULU;2020;8;154764
LAMPUNG;2020;8;880796
KEP. BANGKA BELITUNG;2020;8;87978
KEP. RIAU;2020;8;46331
DKI JAKARTA;2020;8;2588398
JAWA BARAT;2020;8;9436215
JAWA TENGAH;2020;8;11468963
DI YOGYAKARTA;2020;8;1835908
JAWA TIMUR;2020;8;11299515
BANTEN;2020;8;2660062
BALI;2020;8;773886
NUSA TENGGARA BARAT;2020;8;345466
NUSA TENGGARA TIMUR;2020;8;208219
KALIMANTAN BARAT;2020;8;188940
KALIMANTAN TENGAH;2020;8;178547
KALIMANTAN SELATAN;2020;8;378968
KALIMANTAN TIMUR;2020;8;193051
KALIMANTAN UTARA;2020;8;19917
SULAWESI UTARA;2020;8;259030
SULAWESI TENGAH;2020;8;157123
SULAWESI SELATAN;2020;8;909748
SULAWESI TENGGARA;2020;8;181890
GORONTALO;2020;8;83192
SULAWESI BARAT;2020;8;80440
MALUKU;2020;8;21065
MALUKU UTARA;2020;8;43536
PAPUA BARAT;2020;8;23616
PAPUA BARAT DAYA;2020;8;0
PAPUA;2020;8;46725
PAPUA SELATAN;2020;8;0
PAPUA TENGAH;2020;8;0
PAPUA PEGUNUNGAN;2020;8;0
INDONESIA;2020;8;48374243
ACEH;2020;9;293602
SUMATERA UTARA;2020;9;1016798
SUMATERA BARAT;2020;9;555478
RIAU;2020;9;422867
JAMBI;2020;9;228973
SUMATERA SELATAN;2020;9;484199
BENGKULU;2020;9;127706
LAMPUNG;2020;9;686462
KEP. BANGKA BELITUNG;2020;9;73888
KEP. RIAU;2020;9;48314
DKI JAKARTA;2020;9;1961247
JAWA BARAT;2020;9;6769447
JAWA TENGAH;2020;9;10031173
DI YOGYAKARTA;2020;9;1570374
JAWA TIMUR;2020;9;12304681
BANTEN;2020;9;1938669
BALI;2020;9;737473
NUSA TENGGARA BARAT;2020;9;303882
NUSA TENGGARA TIMUR;2020;9;204091
KALIMANTAN BARAT;2020;9;139666
KALIMANTAN TENGAH;2020;9;177946
KALIMANTAN SELATAN;2020;9;340628
KALIMANTAN TIMUR;2020;9;179654
KALIMANTAN UTARA;2020;9;20879
